m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
4096,176,11008,1,2,2,3
4096,192,11008,1,2,2,3
4096,208,11008,1,2,2,3
4096,224,11008,1,2,2,3
4096,240,11008,1,2,2,3
4096,256,11008,1,2,2,3
27392,16,4096,1,1,1,4
27392,32,4096,1,1,1,3
27392,48,4096,1,1,1,2
27392,64,4096,1,1,1,2
27392,80,4096,1,2,1,3
27392,96,4096,1,2,1,3
27392,112,4096,1,2,1,2
27392,128,4096,1,2,1,2
27392,144,4096,1,2,1,3
27392,160,4096,1,2,1,2
27392,176,4096,1,2,1,2
27392,192,4096,1,2,1,2
27392,208,4096,1,2,2,2
27392,224,4096,1,2,2,2
27392,240,4096,1,2,2,2
27392,256,4096,1,2,2,2
4096,16,13696,1,2,1,3
4096,32,13696,1,2,1,3
4096,48,13696,1,2,1,3
4096,64,13696,1,2,1,3
4096,80,13696,1,2,1,3
4096,96,13696,1,2,1,3
4096,112,13696,1,2,1,3
4096,128,13696,1,1,1,3
4096,144,13696,1,2,1,3
4096,160,13696,1,2,1,3
4096,176,13696,1,2,2,3
4096,192,13696,1,2,2,3
4096,208,13696,1,2,2,3
4096,224,13696,1,2,2,3
